CMDLINE uvicorn fastapi_app:app
MEM 182.574219 1768699347.2842
MEM 182.574219 1768699347.3895
MEM 182.574219 1768699347.4953
MEM 182.574219 1768699347.5999
MEM 182.574219 1768699347.7050
MEM 182.574219 1768699347.8109
MEM 182.574219 1768699347.9182
MEM 182.574219 1768699348.0239
MEM 182.574219 1768699348.1288
MEM 182.574219 1768699348.2348
MEM 182.574219 1768699348.3399
MEM 182.574219 1768699348.4452
MEM 182.574219 1768699348.5531
MEM 182.574219 1768699348.6577
MEM 182.574219 1768699348.7623
MEM 182.574219 1768699348.8700
MEM 182.574219 1768699348.9750
MEM 182.574219 1768699349.0798
MEM 182.574219 1768699349.1882
MEM 182.574219 1768699349.2975
MEM 182.574219 1768699349.4022
MEM 182.574219 1768699349.5066
MEM 182.574219 1768699349.6120
MEM 182.574219 1768699349.7176
MEM 182.574219 1768699349.8232
MEM 182.574219 1768699349.9284
MEM 182.574219 1768699350.0333
MEM 182.574219 1768699350.1383
MEM 182.574219 1768699350.2424
MEM 182.574219 1768699350.3484
MEM 182.574219 1768699350.4533
MEM 182.574219 1768699350.5594
MEM 182.574219 1768699350.6658
MEM 182.574219 1768699350.7708
MEM 182.574219 1768699350.8788
MEM 182.574219 1768699350.9849
MEM 182.574219 1768699351.0896
MEM 182.574219 1768699351.1954
MEM 182.574219 1768699351.3002
MEM 182.574219 1768699351.4049
MEM 182.574219 1768699351.5113
MEM 182.574219 1768699351.6161
MEM 182.574219 1768699351.7227
MEM 182.574219 1768699351.8273
MEM 182.574219 1768699351.9323
MEM 182.574219 1768699352.0365
MEM 182.574219 1768699352.1422
MEM 182.574219 1768699352.2480
MEM 182.574219 1768699352.3564
MEM 182.574219 1768699352.4618
MEM 182.574219 1768699352.5679
MEM 182.574219 1768699352.6726
MEM 182.574219 1768699352.7771
MEM 182.574219 1768699352.8832
MEM 182.574219 1768699352.9877
MEM 182.574219 1768699353.0926
MEM 182.574219 1768699353.1973
MEM 182.574219 1768699353.3022
MEM 182.574219 1768699353.4074
MEM 182.574219 1768699353.5136
MEM 182.574219 1768699353.6188
MEM 182.574219 1768699353.7246
MEM 182.574219 1768699353.8293
MEM 182.574219 1768699353.9343
MEM 182.574219 1768699354.0401
MEM 182.574219 1768699354.1454
MEM 182.574219 1768699354.2511
MEM 182.574219 1768699354.3557
MEM 182.574219 1768699354.4613
MEM 182.574219 1768699354.5673
MEM 182.574219 1768699354.6732
MEM 182.574219 1768699354.7777
MEM 182.574219 1768699354.8827
MEM 182.574219 1768699354.9882
MEM 182.574219 1768699355.0928
MEM 182.574219 1768699355.1972
MEM 182.574219 1768699355.3028
MEM 182.574219 1768699355.4092
MEM 182.574219 1768699355.5143
MEM 182.574219 1768699355.6197
MEM 182.574219 1768699355.7252
MEM 182.574219 1768699355.8309
MEM 182.574219 1768699355.9359
MEM 182.578125 1768699356.0413
MEM 182.578125 1768699356.1464
MEM 182.578125 1768699356.2559
MEM 182.578125 1768699356.3614
MEM 182.578125 1768699356.4661
MEM 182.578125 1768699356.5707
MEM 182.578125 1768699356.6751
MEM 182.578125 1768699356.7804
MEM 182.578125 1768699356.8853
MEM 182.578125 1768699356.9911
MEM 182.578125 1768699357.0962
MEM 182.578125 1768699357.2015
MEM 182.578125 1768699357.3080
MEM 182.578125 1768699357.4130
MEM 182.578125 1768699357.5177
MEM 182.578125 1768699357.6227
MEM 182.523438 1768699357.7278
MEM 182.523438 1768699357.8331
MEM 182.523438 1768699357.9380
MEM 182.523438 1768699358.0434
MEM 182.523438 1768699358.1483
MEM 182.523438 1768699358.2534
MEM 182.523438 1768699358.3579
MEM 182.523438 1768699358.4622
MEM 182.523438 1768699358.5682
MEM 182.523438 1768699358.6770
MEM 182.523438 1768699358.7838
MEM 182.523438 1768699358.8884
MEM 182.523438 1768699358.9934
MEM 182.523438 1768699359.0993
MEM 182.523438 1768699359.2057
MEM 182.523438 1768699359.3158
MEM 182.523438 1768699359.4227
MEM 182.523438 1768699359.5275
MEM 182.523438 1768699359.6341
MEM 182.523438 1768699359.7393
MEM 182.558594 1768699359.8453
MEM 182.558594 1768699359.9505
MEM 182.609375 1768699360.0550
MEM 182.632812 1768699360.1598
MEM 182.632812 1768699360.2692
MEM 182.687500 1768699360.3743
MEM 182.687500 1768699360.4790
MEM 182.691406 1768699360.5855
MEM 182.691406 1768699360.6910
MEM 182.691406 1768699360.7959
MEM 182.691406 1768699360.9007
MEM 182.691406 1768699361.0068
MEM 182.691406 1768699361.1116
MEM 182.691406 1768699361.2167
MEM 182.691406 1768699361.3213
MEM 182.773438 1768699361.4263
MEM 182.773438 1768699361.5329
MEM 183.207031 1768699361.6378
MEM 183.207031 1768699361.7430
MEM 183.207031 1768699361.8475
MEM 183.468750 1768699361.9523
MEM 183.468750 1768699362.0571
MEM 183.468750 1768699362.1627
MEM 183.468750 1768699362.2683
MEM 183.468750 1768699362.3728
MEM 183.468750 1768699362.4822
MEM 183.468750 1768699362.5876
MEM 183.468750 1768699362.6936
MEM 183.468750 1768699362.7997
MEM 183.468750 1768699362.9047
MEM 183.468750 1768699363.0096
MEM 183.468750 1768699363.1153
MEM 183.468750 1768699363.2255
MEM 183.468750 1768699363.3338
MEM 183.468750 1768699363.4386
MEM 183.468750 1768699363.5433
MEM 183.468750 1768699363.6478
MEM 183.468750 1768699363.7524
MEM 183.468750 1768699363.8570
MEM 183.468750 1768699363.9622
MEM 183.468750 1768699364.0673
MEM 183.468750 1768699364.1723
MEM 183.468750 1768699364.2787
MEM 183.468750 1768699364.3838
MEM 183.468750 1768699364.4882
MEM 183.468750 1768699364.5926
MEM 183.468750 1768699364.6975
MEM 183.468750 1768699364.8025
MEM 183.468750 1768699364.9090
MEM 183.468750 1768699365.0171
MEM 183.468750 1768699365.1243
MEM 183.531250 1768699365.2332
MEM 183.531250 1768699365.3376
MEM 183.531250 1768699365.4443
MEM 183.531250 1768699365.5533
MEM 183.531250 1768699365.6581
MEM 183.531250 1768699365.7636
MEM 183.531250 1768699365.8696
MEM 183.531250 1768699365.9766
MEM 183.531250 1768699366.0817
MEM 183.531250 1768699366.1867
MEM 183.531250 1768699366.2914
MEM 183.531250 1768699366.3957
MEM 183.531250 1768699366.5056
MEM 183.531250 1768699366.6106
MEM 183.531250 1768699366.7154
MEM 183.531250 1768699366.8214
MEM 183.531250 1768699366.9267
MEM 183.531250 1768699367.0342
MEM 183.542969 1768699367.1389
MEM 183.542969 1768699367.2440
MEM 183.871094 1768699367.3518
MEM 182.972656 1768699367.4577
MEM 184.496094 1768699367.5623
MEM 184.496094 1768699367.6676
MEM 184.496094 1768699367.7739
MEM 184.496094 1768699367.8792
MEM 184.496094 1768699367.9838
MEM 184.496094 1768699368.0905
MEM 184.496094 1768699368.1952
MEM 184.496094 1768699368.3023
MEM 184.496094 1768699368.4095
MEM 184.496094 1768699368.5157
MEM 184.496094 1768699368.6212
MEM 184.496094 1768699368.7269
MEM 184.496094 1768699368.8379
MEM 184.496094 1768699368.9457
MEM 184.496094 1768699369.0541
MEM 184.496094 1768699369.1621
MEM 184.496094 1768699369.2672
MEM 184.496094 1768699369.3718
MEM 184.496094 1768699369.4797
MEM 184.496094 1768699369.5845
MEM 184.496094 1768699369.6895
MEM 184.496094 1768699369.7970
MEM 184.496094 1768699369.9012
MEM 184.496094 1768699370.0061
MEM 184.496094 1768699370.1109
MEM 184.496094 1768699370.2155
MEM 184.496094 1768699370.3208
MEM 184.496094 1768699370.4259
MEM 184.496094 1768699370.5307
MEM 184.496094 1768699370.6354
MEM 184.496094 1768699370.7396
MEM 184.496094 1768699370.8442
MEM 184.496094 1768699370.9494
MEM 184.496094 1768699371.0541
MEM 184.496094 1768699371.1587
MEM 184.496094 1768699371.2681
MEM 184.496094 1768699371.3726
MEM 184.496094 1768699371.4772
MEM 184.496094 1768699371.5832
MEM 184.496094 1768699371.6876
MEM 184.496094 1768699371.7925
MEM 184.496094 1768699371.8979
MEM 184.496094 1768699372.0025
MEM 184.496094 1768699372.1072
